"Source word","ACC","F-score","MRR","MAP_ref","FirstCandidate","Best matching reference","Best matching Candidate","References"
"berkat-berkat,1.000000,1.000000,1.000000,1.000000,"بركت-بركت,"بركت-بركت,"بركت-بركت,""بركت-بركت"
"bugis,1.000000,1.000000,1.000000,1.000000,"بوڬيس,"بوڬيس,"بوڬيس,""بوڬيس"
"hard-boiled,1.000000,1.000000,1.000000,1.000000,"هرد-بويليد,"هرد-بويليد,"هرد-بويليد,""هرد-بويليد"
"im,1.000000,1.000000,1.000000,1.000000,"ايم,"ايم,"ايم,""ايم"
"kearah,1.000000,1.000000,0.500000,0.000000,"كاره,"كارح,"كارح,""كارح"
"kepimpinan,1.000000,1.000000,1.000000,1.000000,"كڤيمڤينن,"كڤيمڤينن,"كڤيمڤينن,""كڤيمڤينن"
"penulisan",1.000000,1.000000,1.000000,1.000000,"ڤنوليسن","ڤنوليسن","ڤنوليسن",""ڤنوليسن""
"petrarch's,1.000000,1.000000,1.000000,1.000000,"ڤيترارچهءس,"ڤيترارچهءس,"ڤيترارچهءس,""ڤيترارچهءس"
"sabitan",1.000000,1.000000,1.000000,1.000000,"سابيتن","سابيتن","سابيتن",""سابيتن""
"starlight,1.000000,1.000000,1.000000,1.000000,"ستارليغت,"ستارليغت,"ستارليغت,""ستارليغت"
"suai",1.000000,1.000000,1.000000,1.000000,"سواي","سواي","سواي",""سواي""
"tangyuan",1.000000,1.000000,1.000000,1.000000,"تڠيوان","تڠيوان","تڠيوان",""تڠيوان""
"tutmonda,1.000000,1.000000,1.000000,1.000000,"توتموندا,"توتموندا,"توتموندا,""توتموندا"
''"allah,1.000000,1.000000,1.000000,1.000000,ءء"الله,ءء"الله,ءء"الله,"ءء"الله"
''"hujan,1.000000,1.000000,1.000000,1.000000,ءء"هوجن,ءء"هوجن,ءء"هوجن,"ءء"هوجن"
'''"penakut"''',1.000000,1.000000,1.000000,1.000000,ءءء"ڤناكوت"ءءء,ءءء"ڤناكوت"ءءء,ءءء"ڤناكوت"ءءء,"ءءء"ڤناكوت"ءءء"
